0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
-0.918858 0.104113 1.12708 2.15006 3.17303 4.196 5.21897 6.24194 7.26491 8.28788 9.31086 10.3338 11.3568 12.3798 13.4027 14.4257 15.4487 16.4717 17.4946 18.5176 19.5406 20.5635 21.5865 22.6095 23.6325 24.6554 25.6784 26.7014 27.7243 28.7473 29.7703 30.7933 31.8162 32.8392 33.8622 34.8851 35.9081 36.9311 37.9541 38.977 40
-0.986129 0.0385243 1.06318 2.08783 3.11248 4.13714 5.16179 6.18644 7.2111 8.23575 9.2604 10.2851 11.3097 12.3344 13.359 14.3837 15.4083 16.433 17.4576 18.4823 19.5069 20.5316 21.5562 22.5809 23.6055 24.6302 25.6549 26.6795 27.7042 28.7288 29.7535 30.7781 31.8028 32.8274 33.8521 34.8767 35.9014 36.926 37.9507 38.9753 40
-1.05351 -0.0271722 0.999166 2.0255 3.05184 4.07818 5.10452 6.13085 7.15719 8.18353 9.20987 10.2362 11.2625 12.2889 13.3152 14.3416 15.3679 16.3942 17.4206 18.4469 19.4732 20.4996 21.5259 22.5523 23.5786 24.6049 25.6313 26.6576 27.6839 28.7103 29.7366 30.763 31.7893 32.8156 33.842 34.8683 35.8946 36.921 37.9473 38.9737 40
-1.121 -0.0929767 0.935048 1.96307 2.9911 4.01912 5.04715 6.07517 7.1032 8.13122 9.15925 10.1873 11.2153 12.2433 13.2713 14.2994 15.3274 16.3554 17.3834 18.4115 19.4395 20.4675 21.4955 22.5236 23.5516 24.5796 25.6076 26.6357 27.6637 28.6917 29.7197 30.7478 31.7758 32.8038 33.8318 34.8599 35.8879 36.9159 37.9439 38.972 40
-1.1886 -0.158889 0.870826 1.90054 2.93026 3.95997 4.98969 6.0194 7.04912 8.07883 9.10855 10.1383 11.168 12.1977 13.2274 14.2571 15.2868 16.3166 17.3463 18.376 19.4057 20.4354 21.4651 22.4948 23.5246 24.5543 25.584 26.6137 27.6434 28.6731 29.7028 30.7326 31.7623 32.792 33.8217 34.8514 35.8811 36.9109 37.9406 38.9703 40
-1.25632 -0.22491 0.806498 1.83791 2.86931 3.90072 4.93213 5.96354 6.99495 8.02635 9.05776 10.0892 11.1206 12.152 13.1834 14.2148 15.2462 16.2776 17.309 18.3404 19.3718 20.4032 21.4347 22.4661 23.4975 24.5289 25.5603 26.5917 27.6231 28.6545 29.6859 30.7173 31.7487 32.7801 33.8116 34.843 35.8744 36.9058 37.9372 38.9686 40
-1.32414 -0.29104 0.742064 1.77517 2.80827 3.84137 4.87448 5.90758 6.94069 7.97379 9.00689 10.04 11.0731 12.1062 13.1393 14.1724 15.2055 16.2386 17.2717 18.3048 19.3379 20.371 21.4041 22.4372 23.4703 24.5034 25.5365 26.5697 27.6028 28.6359 29.669 30.7021 31.7352 32.7683 33.8014 34.8345 35.8676 36.9007 37.9338 38.9669 40
-1.39208 -0.357278 0.677524 1.71233 2.74713 3.78193 4.81673 5.85153 6.88634 7.92114 8.95594 9.99074 11.0255 12.0603 13.0951 14.1299 15.1648 16.1996 17.2344 18.2692 19.304 20.3388 21.3736 22.4084 23.4432 24.478 25.5128 26.5476 27.5824 28.6172 29.652 30.6868 31.7216 32.7564 33.7912 34.826 35.8608 36.8956 37.9304 38.9652 40
-1.46013 -0.423626 0.612878 1.64938 2.68588 3.72239 4.75889 5.79539 6.8319 7.8684 8.9049 9.94141 10.9779 12.0144 13.0509 14.0874 15.1239 16.1604 17.1969 18.2334 19.2699 20.3064 21.3429 22.3794 23.4159 24.4525 25.489 26.5255 27.562 28.5985 29.635 30.6715 31.708 32.7445 33.781 34.8175 35.854 36.8905 37.927 38.9635 40
-1.52829 -0.490082 0.548125 1.58633 2.62454 3.66275 4.70095 5.73916 6.77737 7.81558 8.85378 9.89199 10.9302 11.9684 13.0066 14.0448 15.083 16.1212 17.1594 18.1976 19.2359 20.2741 21.3123 22.3505 23.3887 24.4269 25.4651 26.5033 27.5415 28.5797 29.6179 30.6561 31.6943 32.7325 33.7708 34.809 35.8472 36.8854 37.9236 38.9618 40
